,date,state,positive,negative,positiveIncrease,negativeIncrease,death,deathIncrease,totalTestResultsIncrease,totalTestResults,recovered,Percentage,Active Cases
4850,20200604,NJ,162530.0,695199.0,462,19847,13703.0,95,20309,857729.0,27231.0,2.27%,135299.0
4890,20200603,KS,10170.0,97883.0,159,4582,222.0,5,4741,108053.0,592.0,3.35%,9578.0
4906,20200603,NJ,162068.0,675352.0,523,19220,13608.0,112,19743,837420.0,27008.0,2.65%,135060.0
4946,20200602,KS,10011.0,93301.0,0,8071,217.0,0,8071,103312.0,555.0,0.00%,9456.0
4962,20200602,NJ,161545.0,656132.0,627,21450,13496.0,52,22077,817677.0,26815.0,2.84%,134730.0
5002,20200601,KS,10011.0,85230.0,292,0,217.0,9,292,95241.0,547.0,100.00%,9464.0
5018,20200601,NJ,160918.0,634682.0,473,48982,13444.0,26,49455,795600.0,26703.0,0.96%,134215.0
5058,20200531,KS,9719.0,85230.0,0,0,208.0,0,0,94949.0,547.0,0.00%,9172.0
5074,20200531,NJ,160445.0,585700.0,837,0,13418.0,67,837,746145.0,26560.0,100.00%,133885.0
5114,20200530,KS,9719.0,85230.0,0,0,208.0,0,0,94949.0,547.0,0.00%,9172.0
5130,20200530,NJ,159608.0,585700.0,764,28133,13351.0,106,28897,745308.0,26301.0,2.64%,133307.0
5170,20200529,KS,9719.0,85230.0,382,10079,208.0,3,10461,94949.0,547.0,3.65%,9172.0
5186,20200529,NJ,158844.0,557567.0,1029,29525,13245.0,135,30554,716411.0,26084.0,3.37%,132760.0
5226,20200528,KS,9337.0,75151.0,0,0,205.0,0,0,84488.0,534.0,0.00%,8803.0
5242,20200528,NJ,157815.0,528042.0,1187,24345,13110.0,67,25532,685857.0,25804.0,4.65%,132011.0
5282,20200527,KS,9337.0,75151.0,119,2970,205.0,17,3089,84488.0,534.0,3.85%,8803.0
5298,20200527,NJ,156628.0,503697.0,864,23569,13043.0,151,24433,660325.0,25552.0,3.54%,131076.0
5338,20200526,KS,9218.0,72181.0,0,0,188.0,0,0,81399.0,493.0,0.00%,8725.0
5354,20200526,NJ,155764.0,480128.0,672,11423,12892.0,52,12095,635892.0,25384.0,5.56%,130380.0
5394,20200525,KS,9218.0,72181.0,260,4705,188.0,3,4965,81399.0,493.0,5.24%,8725.0
5410,20200525,NJ,155092.0,468705.0,938,19052,12840.0,15,19990,623797.0,25253.0,4.69%,129839.0
5450,20200524,KS,8958.0,67476.0,0,0,185.0,0,0,76434.0,485.0,0.00%,8473.0
5466,20200524,NJ,154154.0,449653.0,1050,24022,12825.0,54,25072,603807.0,25040.0,4.19%,129114.0
5506,20200523,KS,8958.0,67476.0,0,0,185.0,0,0,76434.0,485.0,0.00%,8473.0
5522,20200523,NJ,153104.0,425631.0,385,23036,12771.0,99,23421,578735.0,24762.0,1.64%,128342.0
5562,20200522,KS,8958.0,67476.0,419,4812,185.0,7,5231,76434.0,485.0,8.01%,8473.0
5578,20200522,NJ,152719.0,402595.0,1247,9793,12672.0,148,11040,555314.0,24491.0,11.30%,128228.0
5618,20200521,KS,8539.0,62664.0,0,0,178.0,0,0,71203.0,473.0,0.00%,8066.0
5634,20200521,NJ,151472.0,392802.0,1073,11858,12524.0,102,12931,544274.0,24236.0,8.30%,127236.0
5674,20200520,KS,8539.0,62664.0,199,4014,178.0,5,4213,71203.0,473.0,4.72%,8066.0
5690,20200520,NJ,150399.0,380944.0,1386,9775,12422.0,168,11161,531343.0,23945.0,12.42%,126454.0
5730,20200519,KS,8340.0,58650.0,0,0,173.0,0,0,66990.0,465.0,0.00%,7875.0
5746,20200519,NJ,149013.0,371169.0,974,13639,12254.0,152,14613,520182.0,23657.0,6.67%,125356.0
5786,20200518,KS,8340.0,58650.0,454,4944,173.0,1,5398,66990.0,465.0,8.41%,7875.0
5802,20200518,NJ,148039.0,357530.0,1705,16299,12102.0,83,18004,505569.0,23496.0,9.47%,124543.0
5842,20200517,KS,7886.0,53706.0,0,0,172.0,0,0,61592.0,443.0,0.00%,7443.0
5858,20200517,NJ,146334.0,341231.0,1245,11096,12019.0,110,12341,487565.0,23299.0,10.09%,123035.0
5898,20200516,KS,7886.0,53706.0,0,0,172.0,0,0,61592.0,443.0,0.00%,7443.0
5914,20200516,NJ,145089.0,330135.0,1184,11068,11909.0,115,12252,475224.0,22939.0,9.66%,122150.0
5954,20200515,KS,7886.0,53706.0,418,3546,172.0,8,3964,61592.0,443.0,10.54%,7443.0
5970,20200515,NJ,143905.0,319067.0,1201,10075,11794.0,197,11276,462972.0,15642.0,10.65%,128263.0
6010,20200514,KS,7468.0,50160.0,0,0,164.0,0,0,57628.0,422.0,0.00%,7046.0
6026,20200514,NJ,142704.0,308992.0,1144,9102,11597.0,253,10246,451696.0,15642.0,11.17%,127062.0
6066,20200513,KS,7468.0,50160.0,352,3167,164.0,6,3519,57628.0,422.0,10.00%,7046.0
6082,20200513,NJ,141560.0,299890.0,817,7573,11344.0,202,8390,441450.0,15642.0,9.74%,125918.0
6122,20200512,KS,7116.0,46993.0,0,0,158.0,0,0,54109.0,376.0,0.00%,6740.0
6138,20200512,NJ,140743.0,292317.0,798,6329,11142.0,212,7127,433060.0,15642.0,11.20%,125101.0
6178,20200511,KS,7116.0,46993.0,168,1436,158.0,1,1604,54109.0,376.0,10.47%,6740.0
6194,20200511,NJ,139945.0,285988.0,1413,112073,10930.0,60,113486,425933.0,15642.0,1.25%,124303.0
6234,20200510,KS,6948.0,45557.0,197,2375,157.0,0,2572,52505.0,371.0,7.66%,6577.0
6250,20200510,NJ,138532.0,173915.0,1447,5794,10870.0,151,7241,312447.0,15642.0,19.98%,122890.0
6290,20200509,KS,6751.0,43182.0,250,1975,157.0,5,2225,49933.0,350.0,11.24%,6401.0
6306,20200509,NJ,137085.0,168121.0,1631,4816,10719.0,177,6447,305206.0,15642.0,25.30%,121443.0
6346,20200508,KS,6501.0,41207.0,357,2529,152.0,5,2886,47708.0,332.0,12.37%,6169.0
6362,20200508,NJ,135454.0,163305.0,1819,4282,10542.0,170,6101,298759.0,15642.0,29.81%,119812.0
6402,20200507,KS,6144.0,38678.0,410,2298,147.0,3,2708,44822.0,323.0,15.14%,5821.0
6418,20200507,NJ,133635.0,159023.0,1745,1993,10372.0,264,3738,292658.0,15642.0,46.68%,117993.0
6458,20200506,KS,5734.0,36380.0,276,1746,144.0,7,2022,42114.0,318.0,13.65%,5416.0
6474,20200506,NJ,131890.0,157030.0,1297,0,10108.0,323,1297,288920.0,15642.0,100.00%,116248.0
6514,20200505,KS,5458.0,34634.0,213,1276,137.0,1,1489,40092.0,296.0,14.30%,5162.0
6530,20200505,NJ,130593.0,157030.0,2324,8079,9785.0,341,10403,287623.0,15642.0,22.34%,114951.0
6570,20200504,KS,5245.0,33358.0,215,1610,136.0,2,1825,38603.0,291.0,11.78%,4954.0
6586,20200504,NJ,128269.0,148951.0,1525,629,9444.0,62,2154,277220.0,15642.0,70.80%,112627.0
6626,20200503,KS,5030.0,31748.0,284,1552,134.0,3,1836,36778.0,286.0,15.47%,4744.0
6642,20200503,NJ,126744.0,148322.0,3027,9727,9382.0,154,12754,275066.0,15642.0,23.73%,111102.0
6682,20200502,KS,4746.0,30196.0,297,1611,131.0,1,1908,34942.0,286.0,15.57%,4460.0
6698,20200502,NJ,123717.0,138595.0,2527,3240,9228.0,227,5767,262312.0,15642.0,43.82%,108075.0
6738,20200501,KS,4449.0,28585.0,211,1197,130.0,1,1408,33034.0,280.0,14.99%,4169.0
6754,20200501,NJ,121190.0,135355.0,2538,6089,9001.0,334,8627,256545.0,15642.0,29.42%,105548.0
6794,20200430,KS,4238.0,27388.0,500,1668,129.0,4,2168,31626.0,272.0,23.06%,3966.0
6810,20200430,NJ,118652.0,129266.0,2388,4212,8667.0,481,6600,247918.0,15642.0,36.18%,103010.0
6850,20200429,KS,3738.0,25720.0,247,1121,125.0,1,1368,29458.0,266.0,18.06%,3472.0
6866,20200429,NJ,116264.0,125054.0,2408,4551,8186.0,349,6959,241318.0,15642.0,34.60%,100622.0
6906,20200428,KS,3491.0,24599.0,163,760,124.0,4,923,28090.0,0.0,17.66%,3491.0
6922,20200428,NJ,113856.0,120503.0,2668,3916,7837.0,428,6584,234359.0,15642.0,40.52%,98214.0
6962,20200427,KS,3328.0,23839.0,154,786,120.0,2,940,27167.0,0.0,16.38%,3328.0
6978,20200427,NJ,111188.0,116587.0,2150,2481,7409.0,139,4631,227775.0,0.0,46.43%,111188.0
